City,Check-in,Check-out,Hotel Name,Price,Rating,Room Type,Features,Image URL
Indore,,,Hotel Kiwi Inn ,"1,298","Scored 7.3
7.3
Good
27 reviews",Standard Queen Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/582644214.webp?k=a4aff77985f19dcb76a8d9c50f74801d08533100a37f473f86ede13da543a1a9&o=
Indore,,,Treebo Nirvana Elite,"1,595","Scored 7.4
7.4
Good
167 reviews",Standard Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/348233393.webp?k=ccfab2e8e0440a53961a66a3555c1b2fe1afd061b58f71ca0785f1e7ac64f261&o=
Indore,,,Treebo Grand Euro ,"2,351","Scored 8.0
8.0
Very good
50 reviews",Standard Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/343230712.webp?k=14c71ff50c591c73d2f73d5e2d89d7b3becfe363ed45aca5ab74f087489a6c7b&o=
Indore,,,FabHotel Pishori,"1,265","Scored 8.7
8.7
Fabulous
46 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/354644577.webp?k=bbf6b25c1ab8a0e7e10c8f344287e19c752463fdbf347c6349b9a1665129606a&o=
Indore,,,Super Hotel O Indraprasth,975,"Scored 6.2
6.2
Review score
26 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/641673914.webp?k=00f1cc41302a121ebe103885063585b159439791fb319156bc34afc1654c44ba&o=
Indore,,,LCH Fitness,"3,000","Scored 8.5
8.5
Very good
90 reviews",Deluxe Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/480695246.webp?k=76c05e5e5d72ed2cf989cbf6b7ac7e72cdcc471937c5c482fafac8df6188634e&o=
Indore,,,FabHotel Royal Palace,"1,118","Scored 7.3
7.3
Good
22 reviews",Deluxe Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/503035538.webp?k=19e667681deba812449357c3f672dc1323873b657ac8d1b4bdeb5bcd1e6f0116&o=
Indore,,,Hotel Diamond Residency,"1,350","Scored 9.0
9.0
Superb
8 reviews",Deluxe Double Room (2 Adults + 1 Child),N/A,https://cf.bstatic.com/xdata/images/hotel/square600/639547466.webp?k=b677aede3dec5b34e97362e3147924d306b9563605d6a4069022845d10107554&o=
Indore,,,Townhouse Gandhi Hall,"1,629","Scored 6.2
6.2
Review score
296 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/652281864.webp?k=0fb1b17c8984ad3d990ec6111300f21a82f2e4ce2aa274ab23c95524e25b05f3&o=
Indore,,,WOW Crest,"6,164","Scored 8.4
8.4
Very good
431 reviews",Superior Twin Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/499372354.webp?k=9b3d39a1d2798de31554509dc56b1d38ef4dfe5fcd2833a4294ddb27aadd87cf&o=
Indore,,,FabExpress Golden Villa,"1,011","Scored 7.0
7.0
Good
122 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/436808014.webp?k=cf3052fff5b683d5400379bff621d78e45274fc4593c0e13f581a19c906d9b03&o=
