status,message,timestamp,data__train_number,data_train_name,data__run_days__001,data__run_days__002,data__run_days__003,data__run_days__004,data__run_days__005,data__run_days__006,data__run_days__007,data__train_src,src,data__train_dstn,dstn,data__from_std,data__from_sta,data__local_train_from_sta,data__to_sta,data__to_std,data__from_day,data__to_day,data__d_day,data__from,data__to,data__from_station_name,data__to_station_name,data__halt_stn,data__distance,data__duration,data__special_train,data__train_type,data__score,data__score_train_type,data__score_booking_requency,data__frequency_perc,data__from_distance_text,data__to_distance_text,data__has_pantry,data__is_monsoon_timing_applicable,data__duration_rating,data__score_duration,data__score_std,data__score_user_preferred,data__train_date,data__class_type__001,data__class_type__002,data__class_type__003,data__class_type__004,data__class_type__005,data__class_type__006
,,,12465,Ranthambhore SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,BGKT,Ujjain,06:00,06:00,360,07:25,07:30,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:25,FALSE,SUF,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3A,,,,
,,,22911,Shipra Express,Tue,Thu,Sat,,,,,INDB,Indore,HWH,Ujjain,23:30,23:30,1410,00:55,01:10,0,1,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:25,FALSE,SUF,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,12919,Malwa SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,DADN,Indore,SVDK,Ujjain,12:15,12:05,725,13:45,14:00,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,79,01:30,FALSE,MAIL EXPRESS,21,5,0,0,,,TRUE,FALSE,3,6,10,0,18-03-2025,SL,3E,3A,2A,,
,,,18233,Narmada Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,BSP,Ujjain,16:00,16:00,960,17:40,17:55,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,2,80,01:40,FALSE,MEX,19,5,0,0,,,FALSE,FALSE,3,4,10,0,18-03-2025,SL,3A,2A,1A,,
,,,21125,Ratlam - Bhind Express,Tue,Fri,Sat,,,,,RTM,Indore,BIX,Ujjain,19:50,19:25,1165,21:40,21:55,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,79,01:50,FALSE,MEX,19,5,0,0,,,FALSE,FALSE,4,4,10,0,18-03-2025,2S,SL,3E,3A,2A,1A
,,,59307,INDORE - Jaipur Link Express (via Ajmer),Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,JP,Ujjain,18:00,18:00,1080,20:05,20:30,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,8,79.4,02:05,FALSE,MEX,19,5,0,0,,,FALSE,FALSE,5,4,10,0,18-03-2025,SL,3A,,,,
,,,9507,INDORE - UJJAIN Special,Sun,Mon,Tue,Wed,Thu,Fri,Sat,INDB,Indore,UJN,Ujjain,18:00,18:00,1080,20:05,20:05,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,8,79.4,02:05,TRUE,MEX,19,5,0,0,,,FALSE,FALSE,5,4,10,0,18-03-2025,2S,,,,,
TRUE,Success,1.74E+12,20416,Kashi Mahakal SF Express,Mon,,,,,,,INDB,Indore,BSB,Varanasi,10:15,10:15,615,03:40,03:40,0,1,0,INDB,BSB,INDORE JN BG,VARANASI JN,8,1077,17:25,FALSE,SUF,25,5,0,0,,,FALSE,FALSE,1,10,10,0,17-03-2025,SL,3E,3A,2A,,
,,,19313,Indore - Patna Express (Via Sultanpur),Mon,,Wed,,,,,INDB,Indore,PNBE,Varanasi,13:55,13:55,835,10:40,10:50,0,1,0,INDB,BSB,INDORE JN BG,VARANASI JN,9,1130,20:45,FALSE,MEX,23,5,0,0,,,FALSE,FALSE,4,8,10,0,17-03-2025,2S,SL,3E,3A,2A,1A
TRUE,Success,1.74E+12,20416,Kashi Mahakal SF Express,Mon,,,,,,,INDB,Ujjain,BSB,Varanasi,11:25,11:15,675,03:40,03:40,0,1,0,UJN,BSB,UJJAIN JN,VARANASI JN,7,1014,16:15,FALSE,SUF,25,5,0,0,,,FALSE,FALSE,1,10,10,0,17-03-2025,SL,3E,3A,2A,,
,,,19421,Ahmedabad - Patna Express,Mon,,,,,,,ADI,Ujjain,PNBE,Varanasi,05:15,05:10,1750,23:40,23:50,1,1,1,UJN,BSB,UJJAIN JN,VARANASI JN,14,982.93,18:25,FALSE,MEX,23,5,0,0,,,FALSE,FALSE,2,8,10,0,17-03-2025,SL,3A,2A,,,
,,,19091,Humsafar Express,Mon,,,,,,,BDTS,Ujjain,GKP,Varanasi,17:15,17:10,1030,12:20,12:50,0,1,0,UJN,BSB,UJJAIN JN,VARANASI JN,10,984,19:05,FALSE,HMSR,21,5,0,0,,,TRUE,FALSE,2,6,10,0,17-03-2025,SL,3A,,,,
,,,19313,Indore - Patna Express (Via Sultanpur),Mon,,Wed,,,,,INDB,Ujjain,PNBE,Varanasi,15:35,15:20,920,10:40,10:50,0,1,0,UJN,BSB,UJJAIN JN,VARANASI JN,7,1050,19:05,FALSE,MEX,21,5,0,0,,,FALSE,FALSE,2,6,10,0,17-03-2025,2S,SL,3E,3A,2A,1A
,,,9103,UDN MFP SPL,Mon,,,,,,,UDN,Ujjain,MFP,Varanasi,07:05,06:55,1855,03:00,03:05,1,2,1,UJN,BSBS,UJJAIN JN,BANARAS,5,1010,19:55,TRUE,MAIL EXPRESS,19,5,0,0,,3 Kms from BSB,FALSE,FALSE,2,4,10,0,17-03-2025,SL,3A,,,,
TRUE,Success,1.74E+12,20911,NGP VANDEBHARAT,Mon,Tue,Wed,Thu,Fri,Sat,,INDB,Bhopal,NGP,Indore,06:10,06:10,370,09:10,09:15,0,0,0,INDB,BPL,INDORE JN BG,BHOPAL  JN,1,246,03:00,FALSE,MAIL EXPRESS,25,5,0,0,,5 Kms from RKMP,FALSE,FALSE,1,10,10,0,18-03-2025,CC,EC,,,,
,,,20917,Humsafar Express,Tue,,,,,,,INDB,Bhopal,PURI,Indore,15:00,15:00,900,18:30,18:40,0,0,0,INDB,BPL,INDORE JN BG,BHOPAL JN,1,218,03:30,FALSE,MAIL EXPRESS,25,5,0,0,,5 Kms from RKMP,TRUE,FALSE,1,10,10,0,18-03-2025,2S,SL,3A,,,
,,,19323,BPL INTERCITY,Mon,Tue,Wed,Thu,Fri,Sat,Sun,DADN,Bhopal,BPL,Indore,06:40,06:35,395,10:55,10:55,0,0,0,INDB,BPL,INDORE JN BG,BHOPAL  JN,7,217,04:15,FALSE,MAIL EXPRESS,25,5,0,0,,5 Kms from RKMP,FALSE,FALSE,2,10,10,0,18-03-2025,2S,CC,,,,
,,,22191,INDB JBP SF EXP,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Bhopal,JBP,Indore,19:30,19:30,1170,23:48,23:50,0,0,0,INDB,RKMP,INDORE JN BG,RANI KAMALAPATI,8,224,04:18,FALSE,MAIL EXPRESS,23,5,0,0,,,FALSE,FALSE,2,8,10,0,18-03-2025,2S,SL,3E,3A,2A,1A
